"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Period1Vio,Period1NonVio,Period1VForOp,Period1Senior,Period1Gun,Period1IED_C,Period1IED_P,Period1ForOp,Period1Rob
ZF1013,0,0,1,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1014,0,0,1,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1015,1,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1020,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1025,0,0,99999,19,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF1029,0,0,99999,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF1031,0,0,99999,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF1032,0,0,0,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1038,0,0,1,23,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ZF104,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1049,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF105,0,0,99999,36,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF1059,0,0,99999,99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF1060,0,0,99999,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF107,0,0,99999,22,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1078,0,0,0,34,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ZF1079,0,0,99999,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1082,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1088,0,0,1,23,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1089,0,0,99999,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1091,0,0,1,21,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ZF1101,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1103,0,0,99999,18,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1116,0,0,99999,19,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,1,0
ZF1118,0,0,99999,17,1,0,0,0,0,1,0,1,0,1,0,1,1,0
ZF1122,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1127,0,0,99999,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF1128,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1129,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1132,1,1,99999,36,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1134,0,0,0,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF1135,0,0,0,18,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1138,0,1,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1149,0,0,1,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF1151,0,0,99999,26,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ZF1157,0,0,0,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF1158,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
