"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period3Vio,Period3NonVio,Period3VForOp,Period3Senior,Period3Gun,Period3IED_C,Period3IED_P,Period3ForOp,Period3Rob
ZF1000,0,0,99999,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1001,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1004,0,0,99999,40,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF1005,0,0,99999,29,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
ZF1006,0,0,99999,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1007,0,0,1,22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1009,0,0,99999,29,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF1011,0,0,0,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1020,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1023,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1025,0,0,99999,19,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1028,0,0,99999,23,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ZF1029,0,0,99999,18,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ZF1030,0,0,99999,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1031,0,0,99999,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF104,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1042,1,0,1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1043,1,0,0,18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1044,0,0,99999,25,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1045,0,0,1,21,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1046,1,0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1047,1,0,0,21,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF105,0,0,99999,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF1050,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1059,0,0,99999,99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF106,0,1,99999,44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF1060,0,0,99999,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF1063,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1067,0,1,99999,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF1071,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1073,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF1077,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF108,0,0,99999,19,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1080,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1081,0,0,0,19,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1083,0,1,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF1084,0,0,99999,23,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF1086,0,1,99999,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1090,0,0,1,30,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1092,0,0,99999,18,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF1093,0,0,99999,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF1095,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1097,0,0,0,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1099,0,0,1,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1101,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1106,0,0,99999,18,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
ZF1107,0,0,99999,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF1109,0,0,99999,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1111,0,0,99999,19,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ZF1112,0,0,99999,19,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1115,0,0,99999,21,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1116,0,0,99999,19,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,1,0
ZF1117,0,0,99999,21,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF1118,0,0,99999,17,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
ZF1127,0,0,99999,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF1128,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1129,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1133,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1137,0,0,0,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1138,0,1,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1139,0,0,99999,20,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1141,0,0,99999,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1142,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1144,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1146,1,1,1,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF115,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1154,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1155,0,0,1,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
