"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period4-5Vio,Period4-5NonVio,Period4-5VForOp,Period4-5Senior,Period4-5Gun,Period4-5IED_C,Period4-5IED_P,Period4-5ForOp,Period4-5Rob
ZF1,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1011,0,0,0,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1018,0,1,1,39,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF1021,0,0,99999,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1026,0,0,99999,28,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF1028,0,0,99999,23,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ZF103,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1030,0,0,99999,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ZF1031,0,0,99999,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ZF104,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1044,0,0,99999,25,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,0,0
ZF1046,1,0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1048,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1049,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF105,0,0,99999,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF1052,0,0,0,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1054,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1059,0,0,99999,99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF106,0,1,99999,44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF1060,0,0,99999,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF1063,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1064,0,0,1,30,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1065,0,0,99999,36,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF1066,0,0,99999,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1069,0,0,99999,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1070,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1075,0,1,99999,19,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1083,0,1,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF1084,0,0,99999,23,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF1086,0,1,99999,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1090,0,0,1,30,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1091,0,0,1,21,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
ZF1096,0,0,99999,25,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1097,0,0,0,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1099,0,0,1,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1101,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1102,0,0,99999,39,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1104,0,0,99999,45,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF1109,0,0,99999,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1111,0,0,99999,19,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ZF1112,0,0,99999,19,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1113,0,0,99999,22,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1115,0,0,99999,21,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1116,0,0,99999,19,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,1,0
ZF1118,0,0,99999,17,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
ZF1120,0,0,0,20,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1121,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1125,0,1,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1128,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1129,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF113,0,0,99999,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF1130,0,0,1,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1138,0,1,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1139,0,0,99999,20,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1143,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF1145,0,1,0,19,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1147,0,0,0,21,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1160,0,0,1,29,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ZF1166,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1167,0,0,99999,19,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
ZF1169,0,0,1,44,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF1174,0,0,1,20,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1185,0,0,1,18,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1187,0,0,99999,15,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ZF1188,0,1,99999,22,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
ZF1190,1,1,99999,22,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1192,0,0,99999,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1194,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1196,0,0,99999,35,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1197,1,0,99999,27,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF1198,0,0,99999,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
